Neighborhood,count
Rosemont East,339
Boyd-booth,185
Washington Hill,619
Blythewood,3
Inner Harbor,1017
Cherry Hill,1856
West Hills,229
Harwood,407
Parklane,360
Midtown-edmondson,428
Mid-town Belvedere,1004
Chinquapin Park,164
Fairmont,82
Gay Street,676
Curtis Bay,1036
Allendale,691
Penn-fallsway,216
Coldspring,108
Garwyn Oaks,249
Woodberry,267
Guilford,234
Orangeville,222
Greenmount Cemetery,11
Cylburn,345
Brewers Hill,296
Oldtown,869
Gwynns Falls,363
Stadium Area,94
North Harford Road,534
Greektown,525
Saint Helena,122
Patterson Place,321
Cross Keys,48
Jones Falls Area,76
Locust Point,179
Saint Agnes,176
Carroll Park,100
Medfield,287
Central Park Heights,1293
The Orchards,19
Upton,1793
Druid Heights,574
Wyman Park,99
Reservoir Hill,1202
Lauraville,420
Cheswolde,454
Idlewood,305
Wakefield,233
Eastwood,62
Wilhelm Park,132
Greenspring,538
Moravia-walther,109
Purnell,86
Hunting Ridge,191
Lucille Park,177
Medford,206
Mayfield,100
Glen Oaks,480
Kenilworth Park,182
Hamilton Hills,1550
Carrollton Ridge,1279
Baltimore Highlands,556
Dunbar-broadway,757
Arcadia,139
Montebello,50
Druid Hill Park,101
Frankford,3483
Johns Hopkins Homewood,54
New Northwood,853
Perring Loch,402
Shipley Hill,509
West Arlington,429
Pleasant View Gardens,243
Stonewood-pentwood-winston,132
Bellona-gittings,20
Dickeyville,26
Millhill,699
Westfield,420
Port Covington,16
Heritage Crossing,266
Orchard Ridge,215
Violetville,634
Middle Branch/reedbird Parks,188
Concerned Citizens Of Forest Park,252
Winchester,269
Pen Lucy,608
Woodbourne-mccabe,186
Four By Four,251
Mcelderry Park,1198
Mount Winans,100
Forest Park Golf Course,34
Homeland,248
Penn North,941
Madison-eastend,546
Ten Hills,210
Morgan Park,10
Ashburton,325
Mid-govans,227
Woodmere,739
Poppleton,857
Fairfield Area,162
Beechfield,464
Burleith-leighton,157
Johnston Square,661
Hawkins Point,53
Bayview,308
Ednor Gardens-lakeside,829
Harlem Park,797
Hollins Market,617
Parkview/woodbrook,437
Biddle Street,311
Charles North,920
Callaway-garrison,323
Dorchester,365
Waltherson,834
Sabina-mattfeldt,37
Tuscany-canterbury,108
Madison Park,689
Hillen,327
Villages Of Homeland,25
Holabird Industrial Park,30
Oakenshawe,145
Windsor Hills,284
Sandtown-winchester,2024
Langston Hughes,259
Loyola/notre Dame,20
Cedarcroft,37
Care,533
Evergreen,32
Hanlon-longwood,484
Arlington,593
Westport,441
Cross Country,298
Yale Heights,422
Carroll - Camden Industrial Area,591
Easterwood,368
Park Circle,585
Fells Point,1546
Mount Vernon,1304
Brooklyn,2667
Evergreen Lawn,205
Jonestown,528
Richnor Springs,130
Northwest Community Action,468
Edmondson Village,675
Edgewood,495
Overlea,60
York-homeland,117
Morrell Park,1156
Belair-edison,2839
Pulaski Industrial Area,800
Irvington,907
Reisterstown Station,725
Lakeland,703
Downtown West,446
Old Goucher,320
O'donnell Heights,274
Mondawmin,1186
Union Square,335
Pimlico Good Neighbors,276
Ridgely's Delight,239
Liberty Square,415
Wyndhurst,70
Franklintown Road,475
Broadway East,1282
Kernewood,88
Greenmount West,503
Original Northwood,107
New Southwest/mount Clare,603
Middle East,594
Federal Hill,729
Spring Garden Industrial Area,55
Oliver,1211
Sharp-leadenhall,262
Patterson Park,117
Barre Circle,122
Downtown,4335
South Clifton Park,419
Seton Hill,375
Butcher's Hill,471
Lake Walker,135
Clifton Park,187
North Roland Park/poplar Hill,156
Milton-montford,450
Cameron Village,177
Wrenlane,122
Berea,817
Waverly,443
East Arlington,339
Coldstream Homestead Montebello,1486
Franklin Square,842
Cedmont,375
Mount Washington,249
Saint Josephs,431
Wilson Park,144
Cedonia,444
Darley Park,261
Saint Paul,33
Broening Manor,313
Carroll-south Hilton,285
Remington,407
Levindale,281
Parkside,432
Loch Raven,1098
Bolton Hill,826
Riverside,868
Otterbein,350
Penrose/fayette Street Outreach,959
Ramblewood,279
Patterson Park Neighborhood,1319
Canton,1958
Washington Village/pigtown,1651
Hoes Heights,79
Roland Park,272
Tremont,160
Hopkins Bayview,151
Radnor-winston,97
Abell,238
Curtis Bay Industrial Area,16
Towanda-grantley,268
West Forest Park,375
Walbrook,670
Belair-parkside,74
Franklintown,227
Mosher,346
Armistead Gardens,409
Rognel Heights,282
East Baltimore Midway,1283
Dolfield,482
Mount Holly,303
Locust Point Industrial Area,113
Canton Industrial Area,506
Better Waverly,825
Evesham Park,70
Howard Park,849
Fallstaff,451
Kresson,107
Oaklee,111
Perkins Homes,105
Mt Pleasant Park,9
Upper Fells Point,789
Bridgeview/greenlawn,418
South Baltimore,524
Central Forest Park,286
Charles Village,884
Glenham-belhar,733
Rosemont,656
Graceland Park,336
Gwynns Falls/leakin Park,38
Lake Evesham,36
Ellwood Park/monument,879
Beverly Hills,62
Coppin Heights/ash-co-east,539
University Of Maryland,491
Forest Park,394
Panway/braddish Avenue,270
Lower Edmondson Village,126
Taylor Heights,19
Rosemont Homeowners/tenants,314
Hampden,973
Morgan State University,84
Glen,887
Rosebank,123
Orangeville Industrial Area,107
Lower Herring Run Park,18
Winston-govans,249
Keswick,32
Uplands,175
Woodbourne Heights,303
Highlandtown,666
Herring Run Park,33
Seton Business Park,129
Barclay,926
Westgate,390
Belvedere,108
Little Italy,208
Grove Park,289
